area_type,availability,location
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,18-Aug,Electronic City
Super built-up Area,Ready To Move,Neeladri Nagar
Super built-up Area,18-May,Panathur
Super built-up Area,18-Apr,Marathahalli
Super built-up Area,17-Dec,1st Block Jayanagar
Super built-up Area,Ready To Move,Frazer Town
Super built-up Area,Ready To Move,Kundalahalli
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,Ready To Move,Kambipura
Super built-up Area,Ready To Move,Kaggalipura
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Kanakpura Road
Built-up Area,Ready To Move,Manayata Tech Park
Super built-up Area,Ready To Move,Kullappa Colony
Super built-up Area,Ready To Move,Akshaya Nagar
Super built-up Area,Ready To Move,Rachenahalli
Super built-up Area,18-May,Haralur Road
Super built-up Area,Ready To Move,Williams Town
Super built-up Area,Ready To Move,Jaya Nagar East
Super built-up Area,Ready To Move,Ambalipura
Super built-up Area,20-Dec,Yelahanka
Super built-up Area,17-Nov,Yelahanka
Built-up Area,Ready To Move,Sarjapur Road
Carpet Area,Ready To Move,Iggalur
Built-up Area,Ready To Move,Sompura
Super built-up Area,18-Aug,Magadi Road
Plot Area,Ready To Move,Harlur
Super built-up Area,18-May,Horamavu Agara
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Mar,Thanisandra
Super built-up Area,Ready To Move,Bellandur
Built-up Area,Ready To Move,Cooke Town
Built-up Area,Ready To Move,Varthur
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Banashankari
Built-up Area,Ready To Move,Doddakallasandra
Plot Area,Ready To Move,Chokkanahalli
Super built-up Area,18-Oct,Hosur Road
Super built-up Area,Ready To Move,Kaggalipura
Super built-up Area,Ready To Move,Battarahalli
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,19-Dec,Hebbal
Built-up Area,18-Dec,Kanakpura Road
Built-up Area,Ready To Move,Yelenahalli
Super built-up Area,19-Dec,Sarjapur Road
Super built-up Area,Ready To Move,Kudlu Gate
Plot Area,Ready To Move,Chikkaballapur
Super built-up Area,Ready To Move,Chamrajpet
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,VGP Layout
Plot Area,Ready To Move,Classic Paradise Layout
Plot Area,Ready To Move,Byappanahalli
Super built-up Area,Ready To Move,Kogilu
Plot Area,Ready To Move,Sahakara Nagar
Super built-up Area,18-Dec,Whitefield
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Vasanth nagar
Super built-up Area,17-Apr,Hennur Road
Built-up Area,Ready To Move,OMBR Layout
Plot Area,Ready To Move,Kumaraswami Layout
Super built-up Area,Ready To Move,Kasavanhalli
Plot Area,Ready To Move,Ulsoor
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Rayasandra
Super built-up Area,Ready To Move,Garudachar Palya
Built-up Area,Ready To Move,Kalyan nagar
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,BEML Layout
Super built-up Area,Ready To Move,Kalkere
Super built-up Area,18-Feb,Rajaji Nagar
Plot Area,18-Dec,ITPL
Super built-up Area,Ready To Move,Bannerghatta Road
Plot Area,Ready To Move,T.C. Palya
Plot Area,Ready To Move,Siddapura
Super built-up Area,Ready To Move,Yelahanka New Town
Super built-up Area,Ready To Move,Makali
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Uttarahalli
Built-up Area,Ready To Move,Electronic City
Built-up Area,Ready To Move,RWF West Colony
Super built-up Area,18-Apr,Devanahalli
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Akshaya Nagar
Built-up Area,Ready To Move,Kaggadasapura
Super built-up Area,Ready To Move,Koramangala
Built-up Area,Ready To Move,Malleshwaram
Built-up Area,Ready To Move,Maragondanahalli
Built-up Area,Ready To Move,Ramamurthy Nagar
Plot Area,Ready To Move,TC Palaya
Super built-up Area,Ready To Move,Kudlu Gate
Built-up Area,Ready To Move,Lakshminarayana Pura
Built-up Area,Ready To Move,Abbigere
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Garudachar Palya
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Vibuthipura
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Hosakerehalli
Super built-up Area,21-Jan,Tumkur Road
Built-up Area,18-May,Hennur
Plot Area,Ready To Move,Chikka Tirupathi
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,18-Jun,Yelahanka
Super built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,5th Block Hbr Layout
Super built-up Area,Ready To Move,Jigani
Super built-up Area,Ready To Move,Suraksha Nagar
Super built-up Area,Ready To Move,Pai Layout
Super built-up Area,Ready To Move,Amruthahalli
Super built-up Area,20-Dec,Jalahalli West
Plot Area,Ready To Move,Defence Layout
Built-up Area,Ready To Move,Kannamangala
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Roopena Agrahara
Super built-up Area,Ready To Move,Kasturi Nagar
Super built-up Area,Ready To Move,Whitefield
Built-up Area,18-Jan,Whitefield
Built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Kanakpura Road
Built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Iblur Village
Super built-up Area,Ready To Move,Kengeri Satellite Town
Super built-up Area,Ready To Move,Mysore Road
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Dooravani Nagar
Super built-up Area,17-Nov,Channasandra
Super built-up Area,18-Jul,Hosa Road
Super built-up Area,Ready To Move,Kudlu Gate
Super built-up Area,Ready To Move,Banashankari Stage V
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Coconut Garden
Super built-up Area,19-Dec,Binny Pete
Plot Area,Ready To Move,Chamrajpet
Plot Area,Ready To Move,TC Palaya
Built-up Area,Ready To Move,Kalkere
Super built-up Area,18-Dec,Old Airport Road
Super built-up Area,Ready To Move,Gollahalli
Super built-up Area,Ready To Move,Sonnenahalli
Super built-up Area,Ready To Move,Begur
Super built-up Area,18-Feb,Kasavanhalli
Super built-up Area,Ready To Move,Kambipura
Super built-up Area,18-Jun,KR Puram
Super built-up Area,Ready To Move,Hoodi
Built-up Area,Ready To Move,Billekahalli
Super built-up Area,Ready To Move,D Souza Layout
Super built-up Area,Ready To Move,Old Airport Road
Built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Malleshwaram
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Balagere
Super built-up Area,Ready To Move,Nagarbhavi
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,20-Aug,Rachenahalli
Super built-up Area,19-Dec,Hebbal
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,18-Jun,Kothannur
Super built-up Area,Ready To Move,Electronic City
Plot Area,Ready To Move,Bettahalsoor
Plot Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Bommanahalli
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,22-May,Jakkur
Super built-up Area,Ready To Move,Rachenahalli
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Whitefield
Plot Area,18-May,Whitefield
Super built-up Area,18-Oct,Whitefield
Super built-up Area,Ready To Move,Thanisandra
Built-up Area,20-Dec,"ECC Road, Whitefield,"
Super built-up Area,Ready To Move,Ashwath Nagar
Super built-up Area,Ready To Move,JP Nagar
Super built-up Area,Ready To Move,Seetharampalya
Super built-up Area,Ready To Move,Jigani
Built-up Area,Ready To Move,Kothanur
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Rukmaiah Layout
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Bommanahalli
Built-up Area,Ready To Move,Yelahanka
Super built-up Area,18-Mar,Kathriguppe
Plot Area,Ready To Move,KR Puram
Super built-up Area,18-May,Hosa Road
Super built-up Area,19-Oct,Panathur
Built-up Area,Ready To Move,Maruthi Sevanagar
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,18-May,Devanahalli Int. Airport
Super built-up Area,Ready To Move,Puttanahalli
Super built-up Area,Ready To Move,Thubarahalli
Super built-up Area,Ready To Move,Benson Town
Super built-up Area,21-Jul,Hoodi
Super built-up Area,Ready To Move,Jakkuru Layout
Super built-up Area,21-Jun,Vijayanagar
Built-up Area,Ready To Move,Palanahalli
Super built-up Area,20-Dec,Old Madras Road
Super built-up Area,21-Nov,Thanisandra
Plot Area,Ready To Move,Devasandra Extension
Super built-up Area,Ready To Move,Nagondanahalli
Built-up Area,Ready To Move,Chikkalasandra
Super built-up Area,Ready To Move,Chandapura
Super built-up Area,Ready To Move,2nd Phase Judicial Layout
Built-up Area,Ready To Move,BEML Layout
Super built-up Area,Ready To Move,Amruthahalli
Plot Area,Ready To Move,Marathahalli
Built-up Area,Ready To Move,Kothannur
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,20-Dec,Hoodi
Super built-up Area,Ready To Move,Lingadheeranahalli
Built-up Area,Ready To Move,Dommasandra
Super built-up Area,Ready To Move,Sanjay nagar
Super built-up Area,19-Dec,Marathahalli
Plot Area,18-Feb,1st Block HRBR Layout
Built-up Area,Ready To Move,Kannamangala
Built-up Area,Ready To Move,Chandapura
Super built-up Area,Ready To Move,Richmond Town
Built-up Area,Ready To Move,"Sarjapur Road,"
Carpet Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Hebbal Kempapura
Built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Bellandur
Plot Area,Ready To Move,Kengeri Satellite Town
Built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Billekahalli
Plot Area,Ready To Move,Bagalur Main Road
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Doddathoguru
Built-up Area,Ready To Move,Harlur
Super built-up Area,Ready To Move,Byadarahalli
Super built-up Area,Ready To Move,Poorna Pragna Layout
Super built-up Area,Ready To Move,Chamrajpet
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,20-Dec,Judicial Layout
Built-up Area,Ready To Move,"Varthur Road,"
Super built-up Area,19-Dec,Kodihalli
Built-up Area,Ready To Move,Horamavu Agara
Built-up Area,Ready To Move,Nagasandra
Super built-up Area,21-Dec,Kanakpura Road
Built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,20-Oct,Kanakpura Road
Super built-up Area,18-Oct,Banashankari Stage III
Super built-up Area,Ready To Move,Chikka Banaswadi
Super built-up Area,17-Nov,Babusapalaya
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,NGR Layout
Super built-up Area,Ready To Move,Babusapalaya
Built-up Area,Ready To Move,Outer Ring Road East
Super built-up Area,Ready To Move,Devanahalli
Plot Area,Ready To Move,Kavika Layout
Carpet Area,Ready To Move,Vinayaka Nagar
Super built-up Area,Ready To Move,Anekal
Built-up Area,Ready To Move,Horamavu Agara
Super built-up Area,Ready To Move,Banashankari Stage II
Super built-up Area,18-Dec,Whitefield
Built-up Area,Ready To Move,JP Nagar
Super built-up Area,Ready To Move,Poorna Pragna Layout
Super built-up Area,Ready To Move,Bhoganhalli
Super built-up Area,Ready To Move,Yelahanka New Town
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Neeladri Nagar
Built-up Area,Ready To Move,Kogilu
Super built-up Area,Ready To Move,Dodda Kempaiah Layout
Super built-up Area,Ready To Move,Horamavu Banaswadi
Super built-up Area,19-Mar,Hennur Busstop
Super built-up Area,18-Jan,KR Puram
Super built-up Area,Ready To Move,GB Palya
Built-up Area,Ready To Move,AMS Layout
Built-up Area,Ready To Move,KR Puram
Plot Area,Ready To Move,9th Block Jayanagar
Super built-up Area,Ready To Move,Karuna Nagar
Super built-up Area,18-Mar,Kadugodi
Super built-up Area,Ready To Move,Ashwathnagar
Super built-up Area,Ready To Move,Hebbal Kempapura
Super built-up Area,18-Apr,Gaurava Nagar
Built-up Area,Ready To Move,HRBR Layout
Super built-up Area,Ready To Move,Kodichikkanahalli
Super built-up Area,19-Jun,Budigere
Plot Area,Ready To Move,Sector 7 HSR Layout
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Built-up Area,Ready To Move,Hoodi
Super built-up Area,21-Oct,Kanakpura Road
Super built-up Area,Ready To Move,Singasandra
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Basapura
Super built-up Area,Ready To Move,Hoodi
Plot Area,Ready To Move,Thigalarapalya
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,Ready To Move,Kasturi Nagar
Plot Area,Ready To Move,Hebbal Kempapura
Super built-up Area,18-Mar,Akshaya Nagar
Super built-up Area,19-Dec,Jakkur
Super built-up Area,18-Nov,Sarjapur Road
Super built-up Area,Ready To Move,Kammasandra
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Begur Road
Plot Area,Ready To Move,Kengeri Satellite Town ( BDA SITE)
Super built-up Area,21-Mar,Hebbal
Super built-up Area,18-May,Electronic City
Super built-up Area,Ready To Move,Panathur
Built-up Area,Ready To Move,AGS Layout
Built-up Area,18-Mar,Kengeri
Built-up Area,Ready To Move,Srinagar
Super built-up Area,Ready To Move,Rachenahalli
Super built-up Area,Ready To Move,Varthur
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,19-Dec,Binny Pete
Super built-up Area,Ready To Move,Dasarahalli
Plot Area,Ready To Move,Brigade Road
Plot Area,Ready To Move,Bannerghatta
Super built-up Area,Ready To Move,Channasandra
Built-up Area,Ready To Move,Hessarghatta
Carpet Area,18-Mar,Hebbal
Super built-up Area,Ready To Move,Belathur
Super built-up Area,18-Apr,Maruthi HBCS Layout
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Uttarahalli
Built-up Area,Ready To Move,Srirampura
Plot Area,Ready To Move,Malleshwaram
Super built-up Area,Ready To Move,Yelahanka
Plot Area,Ready To Move,9th Phase JP Nagar
Super built-up Area,Ready To Move,5th Phase JP Nagar
Super built-up Area,Ready To Move,Kalena Agrahara
Built-up Area,18-Dec,Electronic City
Super built-up Area,18-Jun,Devanahalli Road
Built-up Area,Ready To Move,Ejipura
Built-up Area,18-May,Horamavu Banaswadi
Carpet Area,18-Dec,Bhoganhalli
Super built-up Area,18-Apr,Doddathoguru
Super built-up Area,Ready To Move,Kengeri
Built-up Area,Ready To Move,Green Woods Layout
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Craig Park Layout
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Immadihalli
Super built-up Area,Ready To Move,Banagiri Nagar
Super built-up Area,Ready To Move,Ananth Nagar
Super built-up Area,Ready To Move,Hiremath Layout
Built-up Area,Ready To Move,Attibele
Super built-up Area,Ready To Move,Dommasandra
Super built-up Area,21-Mar,Whitefield
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,18-May,Malleshpalya
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Ramagondanahalli
Super built-up Area,Ready To Move,Jalahalli
Plot Area,Ready To Move,Jnanabharathi Layout
Super built-up Area,Ready To Move,Kaggalipura
Super built-up Area,Ready To Move,Muneshwara Nagar
Super built-up Area,Ready To Move,Chandapura
Plot Area,Ready To Move,Chandapura
Super built-up Area,Ready To Move,Malleshpalya
Built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Thigalarapalya
Super built-up Area,Ready To Move,Kundalahalli
Built-up Area,Ready To Move,Chikkasandra
Super built-up Area,Ready To Move,Varthur
Super built-up Area,Ready To Move,Mahadevpura
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Kanakpura Road
Plot Area,Ready To Move,Bharath Housing Society Layout
Built-up Area,Ready To Move,Chikka Tirupathi
Super built-up Area,19-Mar,Hebbal
Super built-up Area,Ready To Move,EPIP Zone
Super built-up Area,Ready To Move,Konanakunte
Built-up Area,18-Dec,Whitefield
Built-up Area,Ready To Move,3rd Block Jayanagar
Super built-up Area,Ready To Move,Thigalarapalya
Super built-up Area,19-Jul,Sarjapur Road
Super built-up Area,21-Jun,Vijayanagar
Super built-up Area,Ready To Move,Rayasandra
Super built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Kadugodi
Super built-up Area,Ready To Move,Doddakallasandra
Built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Malleshpalya
Super built-up Area,Ready To Move,Horamavu Banaswadi
Built-up Area,Ready To Move,Padmanabhanagar
Built-up Area,Ready To Move,Hormavu
Built-up Area,18-Mar,Hoodi
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Built-up Area,Ready To Move,Ulsoor
Super built-up Area,18-Jul,JP Nagar
Built-up Area,Ready To Move,HSR Layout
Built-up Area,Ready To Move,Manjunatha Layout
Super built-up Area,Ready To Move,Kanakapura
Built-up Area,Ready To Move,Yelahanka
Plot Area,Ready To Move,Konanakunte Cross
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,18-Jul,Hosur Road
Super built-up Area,18-Aug,Banjara Layout
Built-up Area,Ready To Move,Begur
Plot Area,Ready To Move,Uttarahalli
Plot Area,Ready To Move,Chikka Tirupathi
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Parappana Agrahara
Super built-up Area,21-Dec,Kanakpura Road
Super built-up Area,Ready To Move,Abbaiah Reddy Layout
Super built-up Area,21-Oct,Kanakpura Road
Built-up Area,Ready To Move,Singasandra
Plot Area,Ready To Move,Kogilu
Super built-up Area,16-Dec,Yelachenahalli
Super built-up Area,Ready To Move,Koramangala
Built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Lakshmi Layout
Plot Area,Ready To Move,Tavarekere
Built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Immadihalli
Super built-up Area,19-Dec,Hoodi
Super built-up Area,Ready To Move,Srinivasa Nagar
Super built-up Area,Ready To Move,Jigani
Super built-up Area,18-Apr,Thirumenahalli
Super built-up Area,17-Oct,Whitefield
Super built-up Area,19-Jun,Hebbal
Plot Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,KPC Layout
Super built-up Area,Ready To Move,Yelahanka
Plot Area,Ready To Move,JP Nagar
Plot Area,Ready To Move,Sarjapur
Built-up Area,Ready To Move,Ardendale
Super built-up Area,Ready To Move,HOSUR MAIN ROAD
Super built-up Area,Ready To Move,Hebbal
Plot Area,Ready To Move,Begur
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Nandi Durga Road
Super built-up Area,Ready To Move,Rajiv Nagar
Super built-up Area,18-May,Hosa Road
Plot Area,Ready To Move,Cooke Town
Carpet Area,Ready To Move,Kumara Park
Built-up Area,Ready To Move,Daadys Gaarden Layout
Super built-up Area,18-May,Maruthi Nagar
Super built-up Area,Ready To Move,Bommanahalli
Super built-up Area,Ready To Move,Marathahalli
Built-up Area,Ready To Move,Munnekollal
Super built-up Area,18-May,Whitefield
Super built-up Area,Ready To Move,Sahakara Nagar
Super built-up Area,18-Dec,Kudlu Gate
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Hosa Road
Built-up Area,Ready To Move,Kothannur
Plot Area,Ready To Move,Chikkabanavar
Built-up Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,19-Mar,Hennur Road
Plot Area,18-May,Marsur
Super built-up Area,Ready To Move,Shampura
Plot Area,Ready To Move,Gubbalala
Super built-up Area,Ready To Move,Kengeri
Plot Area,Ready To Move,Kereguddadahalli
Built-up Area,Ready To Move,Nagarbhavi
Super built-up Area,19-Dec,Marathahalli
Super built-up Area,22-Mar,Kanakapura
Super built-up Area,19-Dec,Electronics City Phase 1
Super built-up Area,Ready To Move,Balagere
Built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,Gubbalala
Super built-up Area,Ready To Move,AECS Layout
Super built-up Area,Ready To Move,Frazer Town
Super built-up Area,Ready To Move,Karuna Nagar
Super built-up Area,Ready To Move,Kodihalli
Built-up Area,Ready To Move,Kallumantapa
Plot Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,Ready To Move,Kaverappa Layout
Super built-up Area,Ready To Move,Electronic City Phase II
Super built-up Area,Ready To Move,Mysore Road
Plot Area,Ready To Move,Malimakanapura
Super built-up Area,Ready To Move,Medahalli
Super built-up Area,18-May,Talaghattapura
Super built-up Area,Ready To Move,Attibele
Super built-up Area,Ready To Move,Hulimavu
Plot Area,Ready To Move,Kattigenahalli
Super built-up Area,Ready To Move,Rustam Bagh Layout
Built-up Area,Ready To Move,Electronics City Phase 1
Plot Area,Ready To Move,New Thippasandra
Built-up Area,Ready To Move,Harlur
Super built-up Area,Ready To Move,Horamavu Agara
Super built-up Area,Ready To Move,Garden Layout
Super built-up Area,18-Dec,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Viswapriyanagar.begur Road.bommanahalli.
Super built-up Area,Ready To Move,Konanakunte
Super built-up Area,Ready To Move,Basavangudi
Built-up Area,19-Dec,"Hoodi Circle,"
Super built-up Area,Ready To Move,Rachenahalli
Super built-up Area,Ready To Move,Judicial Layout
Built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Aug,Electronic City Phase II
Super built-up Area,18-May,Ananth Nagar
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,19-Dec,Binny Pete
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Bisuvanahalli
Plot Area,Ready To Move,2nd Stage Nagarbhavi
Super built-up Area,Ready To Move,T K Reddy Layout
Built-up Area,Ready To Move,Herohalli
Plot Area,Ready To Move,Kumbena Agrahara
Super built-up Area,20-Dec,Whitefield
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,"Pai layout , Mahadevapura"
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,frazertown
Plot Area,Ready To Move,Akshayanagara East
Plot Area,Ready To Move,Bannerghatta
Super built-up Area,Ready To Move,Old Madras Road
Built-up Area,Ready To Move,Kereguddadahalli
Super built-up Area,Ready To Move,Kadugodi
Super built-up Area,21-Dec,Whitefield
Plot Area,Ready To Move,Hebbal Kempapura
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,Kaikondrahalli
Super built-up Area,Ready To Move,Doddanekundi
Built-up Area,Ready To Move,Venkatadri Layout
Plot Area,Ready To Move,Bommenahalli
Super built-up Area,18-Dec,JP Nagar
Built-up Area,Ready To Move,Mahaganapathy Nagar
Built-up Area,18-Dec,Huskur
Plot Area,Ready To Move,Ramagondanahalli
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,9th Phase JP Nagar
Super built-up Area,Ready To Move,Belathur
Built-up Area,Ready To Move,Kattigenahalli
Built-up Area,Ready To Move,Ulsoor
Super built-up Area,Ready To Move,Kathriguppe
Built-up Area,Ready To Move,Rustam Bagh Layout
Super built-up Area,18-Apr,Panathur
Super built-up Area,18-Dec,Chandapura
Super built-up Area,Ready To Move,Marathahalli
Built-up Area,Ready To Move,Gunjur
Super built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,18-Nov,Whitefield
Plot Area,Ready To Move,Andrahalli
Plot Area,Ready To Move,Singena Agrahara
Built-up Area,Ready To Move,HBR Layout
Plot Area,Ready To Move,R.T. Nagar
Built-up Area,Ready To Move,Vittal Nagar
Built-up Area,Ready To Move,Sadashiva Nagar
Built-up Area,18-Dec,Electronic City Phase II
Super built-up Area,Ready To Move,2Electronic City Phase II
Super built-up Area,Ready To Move,Ardendale
Built-up Area,Ready To Move,Kasavanhalli
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,Ready To Move,Kambipura
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Brookefield
Built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,3rd Block Banashankari
Super built-up Area,Ready To Move,Bhuvaneshwari Nagar
Super built-up Area,Ready To Move,Choodasandra
Super built-up Area,Ready To Move,Shanthala Nagar
Super built-up Area,Ready To Move,Harlur
Super built-up Area,Ready To Move,Anekal
Built-up Area,Ready To Move,Jnanabharathi Layout
Super built-up Area,Ready To Move,Sarjapur
Plot Area,Ready To Move,Kadarenahalli
Super built-up Area,18-Feb,EPIP Zone
Super built-up Area,Ready To Move,8th Phase JP Nagar
Built-up Area,Ready To Move,JP Nagar
Super built-up Area,Ready To Move,Bannerghatta Road
Plot Area,18-Dec,Whitefield
Super built-up Area,Ready To Move,Laggere
Super built-up Area,Ready To Move,Kammasandra
Super built-up Area,19-Mar,Hosa Road
Plot Area,Ready To Move,Victoria Layout
Plot Area,Ready To Move,Prithvi Layout
Super built-up Area,19-Apr,Mysore Road
Built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,18-Dec,Bannerghatta
Super built-up Area,Ready To Move,Domlur
Super built-up Area,Ready To Move,Hennur Road
Built-up Area,Ready To Move,Sanjay nagar
Super built-up Area,Ready To Move,Sector 7 HSR Layout
Super built-up Area,Ready To Move,Tumkur Road
Built-up Area,Ready To Move,5th Phase JP Nagar
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Thubarahalli
Plot Area,Ready To Move,Subramanyanagar
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Thigalarapalya
Built-up Area,Ready To Move,Ramamurthy Nagar
Built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,KUDLU MAIN ROAD
Super built-up Area,18-May,Hebbal
Super built-up Area,19-Dec,Binny Pete
Super built-up Area,Ready To Move,Doddanekundi
Super built-up Area,Ready To Move,Whitefield
Plot Area,Ready To Move,1 Ramamurthy Nagar
Plot Area,Ready To Move,Kadugondanahalli
Plot Area,Ready To Move,Banashankari Stage II
Super built-up Area,18-May,Old Airport Road
Super built-up Area,Ready To Move,5th Stage BEML Layout
Super built-up Area,Ready To Move,HBR Layout
Super built-up Area,Ready To Move,Indira Nagar
Plot Area,Immediate Possession,IVC Road
Carpet Area,Ready To Move,Jaya Mahal layout
Built-up Area,Ready To Move,BSM Extension
Built-up Area,Ready To Move,Jigani
Super built-up Area,19-Mar,Hennur Road
